Title,Price,Location,Bedrooms,Area (sqm)
3-BEDROOM APARTMENT,"OMR45,000",Bausher,3,N/A
3-BEDROOM VILLA,"OMR290,000",Al Mawaleh,3,N/A
6-BEDROOM TWIN VILLA,"OMR180,000",Bausher,6,N/A
7-BEDROOM DETACHED VILLA,"OMR300,000",Al Ansab,7,758
4-BEDROOM DETACHED VILLA,"OMR80,000",Al Hail,4,N/A
5-BEDROOM TWIN VILLA,OMR700,Al Ansab,5,N/A
7-BEDROOM TWIN VILLA,"OMR105,000",N/A,7,573
6+1 BEDROOM DETACHED VILLA,OMR180,Bausher,1,N/A
4+1 BEDROOM COMPOUND VILLA,"OMR80,000",Al Khoudh,1,260
7-BEDROOM DETACHED VILLA,OMR220,Al Ansab,7,N/A
4+1 TWIN VILLA,"OMR1,000",Shatti Al Qurum,N/A,N/A
6 BEDROOM DETACHED VILLA,"OMR200,000",Maabelah,6,N/A
3BEDROOM FURNISHED TWIN VILLA IN (AL KHOUD),"OMR105,000",Al Khoudh,3,300
FARM LAND FOR SALE IN (BARKA),"OMR170,000",Barka,N/A,7502
FARM LAND FOR SALE IN (BARKA),"OMR140,000",Barka,N/A,5544
FARM FOR SALE IN (BARKA),"OMR200,000",Barka,N/A,6117
9 BEDROOM DETACHED VILLA,"OMR166,000",Qurum,9,405
8 BEDROOM TWIN VILLA IN ( AL-HAIL NORTH ),"OMR180,000",Al Hail,8,520
5 BEDROOM VILLA IN (QURUM),"OMR175,000",Qurum,5,180
6 BEDROOM VILLA IN (ALKHOUDH),"OMR145,000",Al Khoudh,6,280
5 BEDROOM VILLA IN (BAUSHER),"OMR220,000",Bausher,5,350
6 BEDROOM VILLA IN (BAUSHER),"OMR220,000",Bausher,6,285
5 BEDROOM TWINVILLA IN (AL ANSAB),"OMR140,000",Al Ansab,5,500
5 BEDROOM TWINVILLA IN (AL MAWALEH),"OMR85,000",Bausher,5,N/A
5 BEDROOM DETACHED VILLA IN ( AL ANSAB),"OMR255,000",Al Ansab,5,660
FURNISHED 5 BEDROOM VILLA IN ( MADINAT SULTAN QABOOS),"OMR185,000",Madinat Qaboos (MQ),5,370
5 BEDROOM TWIN-VILLA IN ( MAABELLAH),"OMR75,000",Maabelah,5,300
5 BEDROOM TWINVILLA IN ( MADINAT AL SULTAN QABOOS),"OMR265,000",Madinat Qaboos (MQ),5,284
5 BEDROOM VILLA IN ( QURUM 20 ),"OMR110,000",Qurum,5,209
9 BEDROOM VILLA IN (BAUSHER),"OMR200,000",Bausher,9,334
RESIDENTIAL BUILDING WITH 8 APARTMENTS  IN (DARSAIT),"OMR130,000",Mutrah,N/A,410
LAND FOR SALE IN ( AL KHOUDH),"OMR90,000",Al Khoudh,N/A,595
5 BEDROOM TWINVILLA IN (AL MAWALEH),"OMR128,000",Al Mawaleh,5,307
5 BEDROOM VILLA IN (AL ANSAB),"OMR100,000",Al Ansab,5,300
4 BEDROOM VILLA IN (ALKHOUDH),"OMR110,000",Al Khoudh,4,336
RESIDENTIAL LAND FOR SALE IN ( AL ANSAB),"OMR115,000",Al Ansab,N/A,600
2 BEDROOM APARTMENT IN (MUSCAT HILLS),"OMR85,000",Muscat Hills,2,130
6 BEDROOM TWIN VILLA,"OMR140,000",Al Mawaleh,6,300
5 BEDROOM VILLA IN (MAABELLAH),"OMR75,000",Maabelah,5,355
5 BEDROOM TWIN-VILLA IN ( AL MAWALEH),"OMR130,000",Al Mawaleh,5,236
4 BEDROOM VILLA IN (BAUSHER),"OMR85,000",Bausher,4,301
5 BEDROOM VILLA IN (BAUSHER),"OMR250,000",Bausher,5,601
2 BEDROOM RESORT IN ( BARKA),"OMR80,000",Barka,2,N/A
RESIDENTIAL LAND  IN ( AL JAFNINE),"OMR41,000",Rusayl,N/A,600
5 BEDROOM VILLA IN (BAUHSER),"OMR135,000",Bausher,5,300
5 BEDROOM VILLA IN (ALGHUBRA),"OMR250,000",Al Ghoubrah,5,600
7 BEDROOM VILLA IN (ALANSAB),"OMR220,000",Al Ansab,7,633
3 BEDROOM APARTMENT IN (ALANSAB),"OMR39,000",Al Ansab,3,18.8
5 BEDROOM DETACHED VILLA IN (MADINAT SULTAN QABOOS),"OMR300,000",Madinat Qaboos (MQ),5,857
5 BEDROOM TWINVILLA IN (MAABELAH),"OMR72,000",Maabelah,5,300
5 BEDROOM TWINVILLA IN (FALAJ ALSHAM),"OMR95,000",Bausher,5,232
1 BEDROOM APARTMENT IN (ALKHOUD),"OMR32,000",Al Khoudh,1,69.2
FURNISHED 2 BEDROOM APARTMENT IN     (MSQ),"OMR65,000",Madinat Qaboos (MQ),2,N/A
FURNISHED 1 BEDROOM APARTMENT IN (MUSCAT BAY),"OMR85,000",MUSCAT BAY,1,79
2-BEDROOM APARTMENT,"OMR35,000",N/A,2,137
4-BEDROOM STANDALONE VILLA,"OMR350,000",Muscat Hills,4,N/A
OFFICE SPACE,OMR650,Al Ghoubrah,N/A,N/A
6 BEDROOM TWIN-VILLA,"OMR130,000",Al Khoudh,6,412
6-BEDROOM DETACHED VILLA,"OMR300,000",Al Hail,6,N/A
3 BEDROOM TOWNHOUSE,"OMR80,000",Al Khoudh,3,199
8 BEDROOM DETACHED VILLA IN (MAWALLEH),"OMR-320,000",Al Mawaleh,8,670
7 BEDROOM DETACHED VILLA IN (AL KHUWAIR),"OMR85,000",Al Khuwair,7,N/A
FULLY FURNISHED 2 BEDROOM APARTMENT,"OMR90,000",Salalah,2,129.35
